word,r and d manager,YorN
develop,2.33672857998802,y
busi,2.15698022768125,
และ,1.67765128819652,n
manag,1.55781905332534,y
product,1.37807070101857,y
project,0.898741761533853,y
market,0.838825644098262,
packag,0.778909526662672,
oper,0.718993409227082,
experi,0.718993409227082,n
intern,0.718993409227082,
work,0.659077291791492,n
skill,0.659077291791492,n
plan,0.659077291791492,y
respons,0.659077291791492,n
food,0.659077291791492,
team,0.599161174355902,
เพื่อ,0.599161174355902,n
process,0.599161174355902,y
ผลิตภัณฑ์,0.599161174355902,y
opportun,0.599161174355902,
plant,0.599161174355902,
lead,0.539245056920311,
client,0.539245056920311,
thailand,0.539245056920311,n
strateg,0.539245056920311,y
english,0.479328939484721,
cost,0.479328939484721,
power,0.479328939484721,
user,0.479328939484721,n
year,0.419412822049131,n
การ,0.419412822049131,n
creat,0.419412822049131,y
salari,0.419412822049131,n
พัฒนา,0.419412822049131,y
ร่วม,0.419412822049131,n
qualiti,0.359496704613541,
ที่,0.359496704613541,n
ใน,0.359496704613541,n
industri,0.359496704613541,n
high,0.359496704613541,n
strategi,0.359496704613541,y
base,0.299580587177951,
sale,0.299580587177951,
custom,0.299580587177951,
degre,0.299580587177951,n
relat,0.299580587177951,n
good,0.299580587177951,n
write,0.299580587177951,
ควบคุม,0.299580587177951,
ให้,0.299580587177951,n
current,0.299580587177951,n
target,0.299580587177951,
resourc,0.299580587177951,y
effect,0.299580587177951,
requir,0.299580587177951,n
ฝ่าย,0.299580587177951,n
knowledg,0.299580587177951,
supplier,0.299580587177951,
thai,0.299580587177951,n
candid,0.299580587177951,n
understand,0.299580587177951,
content,0.299580587177951,
excel,0.299580587177951,
applic,0.299580587177951,
support,0.299580587177951,
แบบ,0.299580587177951,
platform,0.299580587177951,
implement,0.299580587177951,
innov,0.299580587177951,
snack,0.299580587177951,
coordin,0.239664469742361,
qualif,0.239664469742361,n
have,0.239664469742361,n
communic,0.239664469742361,
speak,0.239664469742361,n
ตรวจสอบ,0.239664469742361,
ใหม่,0.239664469742361,n
ได้,0.239664469742361,n
posit,0.239664469742361,n
compani,0.239664469742361,n
optim,0.239664469742361,
safeti,0.239664469742361,
achiev,0.239664469742361,
field,0.239664469742361,
วางแผน,0.239664469742361,y
look,0.239664469742361,n
term,0.239664469742361,
identifi,0.239664469742361,
prefer,0.239664469742361,
ข้อมูล,0.239664469742361,n
strong,0.239664469742361,n
commerci,0.239664469742361,
partner,0.239664469742361,
profession,0.239664469742361,
interest,0.239664469742361,
direct,0.239664469742361,
potenti,0.239664469742361,
data,0.239664469742361,
analys,0.239664469742361,y
launch,0.239664469742361,
growth,0.239664469742361,
rice,0.239664469742361,n
chiang,0.239664469742361,
tencent,0.239664469742361,n
standard,0.17974835230677,
detail,0.17974835230677,
research,0.17974835230677,y
negoti,0.17974835230677,
ผู้จัดการ,0.17974835230677,y
ต่างๆ,0.17974835230677,n
เกี่ยวข้อง,0.17974835230677,n
analysi,0.17974835230677,
โครงการ,0.17974835230677,
report,0.17974835230677,
track,0.17974835230677,
เพื่อให้,0.17974835230677,n
manufactur,0.17974835230677,
relationship,0.17974835230677,
includ,0.17974835230677,n
deliveri,0.17974835230677,
นำเสนอ,0.17974835230677,
engin,0.17974835230677,
materi,0.17974835230677,
channel,0.17974835230677,
asset,0.17974835230677,
higher,0.17974835230677,n
chines,0.17974835230677,
qualifi,0.17974835230677,n
best,0.17974835230677,n
promot,0.17974835230677,
trend,0.17974835230677,
environ,0.17974835230677,
abil,0.17974835230677,
expect,0.17974835230677,
recruit,0.17974835230677,n
ออกแบบ,0.17974835230677,
propos,0.17974835230677,
number,0.17974835230677,
purchas,0.17974835230677,
organ,0.17974835230677,n
grow,0.17974835230677,
local,0.17974835230677,
insight,0.17974835230677,
role,0.17974835230677,n
technic,0.17974835230677,
build,0.17974835230677,
initi,0.17974835230677,
model,0.17974835230677,
follow,0.17974835230677,
store,0.17974835230677,
alloc,0.17974835230677,
คุณภาพ,0.17974835230677,
object,0.17974835230677,
suitabl,0.17974835230677,
familiar,0.17974835230677,
draw,0.17974835230677,
concept,0.17974835230677,
energi,0.17974835230677,
renew,0.17974835230677,
กระบวนการผลิต,0.17974835230677,
reduct,0.17974835230677,
วิจัยและพัฒนา,0.17974835230677,y
ผู้ออกแบบ,0.17974835230677,
senior,0.11983223487118,n
task,0.11983223487118,n
ensur,0.11983223487118,
offer,0.11983223487118,
depart,0.11983223487118,
meet,0.11983223487118,
need,0.11983223487118,
bachelor,0.11983223487118,n
scienc,0.11983223487118,
present,0.11983223487118,
solv,0.11983223487118,
ตำแหน่ง,0.11983223487118,n
ของ,0.11983223487118,n
กับ,0.11983223487118,n
technolog,0.11983223487118,
offic,0.11983223487118,
ทาง,0.11983223487118,n
ด้าน,0.11983223487118,n
งาน,0.11983223487118,n
ทดสอบ,0.11983223487118,y
ส่ง,0.11983223487118,
administr,0.11983223487118,
ขาย,0.11983223487118,
prepar,0.11983223487118,
provid,0.11983223487118,n
month,0.11983223487118,n
ต่อ,0.11983223487118,n
descript,0.11983223487118,n
ความรู้,0.11983223487118,n
director,0.11983223487118,
maintain,0.11983223487118,
perform,0.11983223487118,
continu,0.11983223487118,n
activ,0.11983223487118,
analyt,0.11983223487118,y
prove,0.11983223487118,n
command,0.11983223487118,
flexibl,0.11983223487118,
onlin,0.11983223487118,
วาง,0.11983223487118,n
assist,0.11983223487118,
budget,0.11983223487118,
close,0.11983223487118,n
oversea,0.11983223487118,
contact,0.11983223487118,
assign,0.11983223487118,
bangkok,0.11983223487118,n
background,0.11983223487118,
person,0.11983223487118,
partnership,0.11983223487118,
short,0.11983223487118,
long,0.11983223487118,
dynam,0.11983223487118,
floor,0.11983223487118,n
road,0.11983223487118,n
ธุรกิจ,0.11983223487118,
อยู่,0.11983223487118,n
ทุก,0.11983223487118,n
สร้าง,0.11983223487118,n
ๆ,0.11983223487118,n
แผนงาน,0.11983223487118,y
แผน,0.11983223487118,
บริหาร,0.11983223487118,
ดำเนินการ,0.11983223487118,
ประเภท,0.11983223487118,n
ศึกษา,0.11983223487118,
involv,0.11983223487118,
suppli,0.11983223487118,
level,0.11983223487118,n
success,0.11983223487118,n
งบประมาณ,0.11983223487118,
network,0.11983223487118,
ผู้บริหาร,0.11983223487118,
อนุมัติ,0.11983223487118,
corpor,0.11983223487118,n
time,0.11983223487118,
servic,0.11983223487118,
individu,0.11983223487118,
charg,0.11983223487118,
issu,0.11983223487118,
employe,0.11983223487118,
valu,0.11983223487118,
inform,0.11983223487118,
result,0.11983223487118,
principl,0.11983223487118,
sens,0.11983223487118,
econom,0.11983223487118,
attract,0.11983223487118,
place,0.11983223487118,
send,0.11983223487118,
photo,0.11983223487118,
การผลิต,0.11983223487118,y
seek,0.11983223487118,
appli,0.11983223487118,
extens,0.11983223487118,
event,0.11983223487118,
unit,0.11983223487118,
conduct,0.11983223487118,
retent,0.11983223487118,
open,0.11983223487118,
focus,0.11983223487118,
career,0.11983223487118,
evalu,0.11983223487118,
date,0.11983223487118,n
facebook,0.11983223487118,
fluent,0.11983223487118,n
collect,0.11983223487118,
chain,0.11983223487118,
rayong,0.11983223487118,n
โครง,0.11983223487118,n
การบริหาร,0.11983223487118,y
วัตถุดิบ,0.11983223487118,
generat,0.11983223487118,
planner,0.11983223487118,
expertis,0.11983223487118,
educ,0.11983223487118,
organis,0.11983223487118,
scope,0.11983223487118,
competit,0.11983223487118,
offici,0.11983223487118,
คัดเลือก,0.11983223487118,n
enjoy,0.11983223487118,n
gather,0.11983223487118,n
techniqu,0.11983223487118,
asia,0.11983223487118,n
twitter,0.11983223487118,
คิดค้น,0.11983223487118,y
expand,0.11983223487118,
give,0.11983223487118,
depth,0.11983223487118,
decis,0.11983223487118,
make,0.11983223487118,n
adequ,0.11983223487118,n
clear,0.11983223487118,
