word,hr manager,YorN
manag,2.82703675147777,y
develop,1.29358348325195,y
employe,1.14794825666067,y
และ,1.07941403238242,n
compani,1.00231303006939,n
resourc,0.99374625203461,y
relat,0.976612695965048,
human,0.976612695965048,y
busi,0.873811359547674,n
recruit,0.856677803478112,y
work,0.848111025443331,n
experi,0.813843913304206,n
train,0.771010023130301,y
ensur,0.762443245095519,
skill,0.668208686712927,n
การ,0.651075130643365,n
year,0.616808018504241,n
process,0.60824124046946,n
plan,0.591107684399897,
implement,0.573974128330335,
communic,0.548273794225992,
polici,0.548273794225992,
provid,0.531140238156429,n
team,0.505439904052086,
depart,0.488306347982524,
program,0.46260601387818,
organ,0.46260601387818,n
benefit,0.46260601387818,
administr,0.445472457808618,y
maintain,0.419772123704275,
perform,0.419772123704275,
requir,0.419772123704275,n
strategi,0.419772123704275,y
includ,0.402638567634712,n
support,0.402638567634712,
good,0.394071789599931,n
compens,0.394071789599931,
ใน,0.38550501156515,n
assist,0.376938233530369,
งาน,0.368371455495588,n
ของ,0.359804677460807,n
ที่,0.359804677460807,n
report,0.342671121391245,
พนักงาน,0.342671121391245,n
candid,0.342671121391245,y
procedur,0.342671121391245,
function,0.334104343356464,
salari,0.334104343356464,n
strong,0.325537565321682,n
degre,0.316970787286901,n
level,0.316970787286901,n
qualif,0.30840400925212,n
ให้,0.30840400925212,n
ดูแล,0.30840400925212,n
activ,0.30840400925212,
peopl,0.30840400925212,
english,0.299837231217339,
offic,0.299837231217339,
staff,0.291270453182558,
oper,0.282703675147777,
bachelor,0.282703675147777,n
control,0.282703675147777,y
monitor,0.282703675147777,
ควบคุม,0.274136897112996,
excel,0.274136897112996,
ต่างๆ,0.265570119078215,n
need,0.257003341043434,n
field,0.257003341043434,
high,0.257003341043434,n
overal,0.248436563008652,
updat,0.248436563008652,
meet,0.239869784973871,
ด้าน,0.239869784973871,n
posit,0.239869784973871,n
กับ,0.23130300693909,n
respons,0.23130300693909,n
