word,librarian,YorN
หนังสือ,22.2222222222222,y
แนะนำ,11.1111111111111,
time,11.1111111111111,
เจ้าหน้าที่,5.55555555555556,n
ใหม่,5.55555555555556,n
ดูแล,5.55555555555556,
ประจำ,5.55555555555556,
shop,5.55555555555556,
promot,5.55555555555556,
แจ้ง,5.55555555555556,
แคชเชียร์,5.55555555555556,
เติม,5.55555555555556,y
หมวด,5.55555555555556,y
